OSEBuildingID,SiteEUI(kBtu/sf)_2015,SourceEUI(kBtu/sf)_2015,GHGEmissions(MetricTonsCO2e),Electricity(kBtu)_2015,NaturalGas(kBtu)_2015,SteamUse(kBtu)_2015,PropertyGFATotal_2015,YearBuilt_2015,NumberofFloors_2015,BuildingType_2015,PrimaryPropertyType_2015,ENERGYSTARScore_2015,SiteEUI(kBtu/sf)_2016,SourceEUI(kBtu/sf)_2016,Electricity(kBtu)_2016,NaturalGas(kBtu)_2016,SteamUse(kBtu)_2016,PropertyGFATotal_2016,YearBuilt_2016,NumberofFloors_2016,BuildingType_2016,PrimaryPropertyType_2016,ENERGYSTARScore_2016,Δ_SiteEUI,Δ_SiteEUI_pct,Δ_SourceEUI,Δ_SourceEUI_pct,Δ_Electricity,Δ_Electricity_pct,Δ_NaturalGas,Δ_NaturalGas_pct,Δ_ENERGYSTARScore,Δ_ENERGYSTARScore_pct,Trajectory_Class,Energy_Efficiency_2015,Electrification_Rate_2015,BuildingAge_2015,SizeCategory,Has_ENERGY_STAR,Age_Size_Interaction,EUI_ESTAR_Interaction,Electricity_per_sqft,NaturalGas_per_sqft,Target_2016_EUI,Target_Delta_EUI,Target_Worsened,Cluster,Annual_EUI_Change_Rate,Projected_EUI_2020,Projected_EUI_2025,Projected_EUI_2030,Projected_EUI_2040,Risk_Score,BEPS_Target_2030,BEPS_Target_2040,BEPS_Compliant_2030,BEPS_Compliant_2040
798,76.6,168.5,117.75,2337261.0,1910293.0,0.0,55450,1969,1.0,NonResidential,Non-Refrigerated Warehouse,28.0,78.40000153,163.3000031,2149197.0,2196501.0,0.0,55450,1969,1,NonResidential,Warehouse,31.0,1.800001530000003,2.349871449086166,-5.199996900000002,-3.086051572700298,-188064.0,-8.046341422716589,286208.0,14.982413692559204,3.0,10.714285714285714,Stable,0.45459940652818986,0.5502604557823161,46,Large,1,502.46973123652606,2144.7999999999997,42.15078449053201,34.4507303877367,78.40000153,1.800001530000003,1,1.0,0.02349871449086166,86.03304162195523,96.62773173270341,108.52712357695556,136.902477581149,2.349871449086166,60,50,0,0
799,45.6,93.0,78.15,1190055.0,1315265.0,0.0,54880,1979,1.0,NonResidential,"Distribution Center
",35.0,50.20000076,99.90000153,1240788.0,1522809.0,0.0,54880,1979,1,NonResidential,Distribution Center,32.0,4.60000076,10.08772096491228,6.900001529999997,7.419356483870965,50733.0,4.2630802778022865,207544.0,15.77963376201754,-3.0,-8.571428571428571,Declining,0.4903225806451613,0.4750111762170102,36,Large,1,392.8652094170916,1596.0,21.684675655976676,23.966198979591837,50.20000076,4.60000076,1,1.0,0.1008772096491228,73.73254897146275,119.22124512783228,192.77382225497058,504.00734906335555,10.08772096491228,60,50,1,0
800,73.6,183.9,154.96,5071562.0,2252000.0,0.0,113390,1992,1.0,NonResidential,Retail Store,80.0,73.40000153,181.6000061,4972873.0,2332600.0,0.0,102500,1992,1,NonResidential,Retail Store,81.0,-0.19999846999999704,-0.27173705163043077,-2.299993900000004,-1.2506764002175117,-98689.0,-1.9459290845700004,80600.0,3.579040852575489,1.0,1.25,Stable,0.4002175095160413,0.6924993602839711,23,Very Large,1,267.6877379470775,5888.0,44.72671311403122,19.860657906340947,73.40000153,-0.19999846999999704,0,2.0,-0.0027173705163043077,72.60542760141908,71.6242950704471,70.65642079130468,68.75973276328915,0.0,60,50,0,0
801,109.2,314.8,113.32,7871797.0,1100457.0,0.0,361398,2002,6.0,NonResidential,Other,,108.5,308.7999878,7663584.0,1251938.0,0.0,361398,2002,6,NonResidential,Other,,-0.7000000000000028,-0.6410256410256436,-6.000012200000015,-1.9059759212198268,-208213.0,-2.645050424953794,151481.0,13.765281151376202,,,Stable,0.3468869123252859,0.8773488802256378,13,Mega,0,166.37059257155065,0.0,21.781517883330842,3.045000249032922,108.5,-0.7000000000000028,0,2.0,-0.006410256410256436,105.74458507590128,102.39850982485828,99.15831441227327,92.98226769745011,0.0,60,50,0,0
802,260.9,612.3,174.97,4432212.0,2712711.0,0.0,50785,1963,1.0,NonResidential,Supermarket/Grocery Store,59.0,271.7000122,615.5999756,4327325.0,3111684.0,0.0,50785,1963,1,NonResidential,Supermarket / Grocery Store,57.0,10.800012200000026,4.139521732464556,3.299975600000039,0.5389475093908279,-104887.0,-2.366470737410575,398973.0,14.707537957416031,-2.0,-3.389830508474576,Stable,0.426098317818063,0.6203302680798659,52,Large,1,563.4395522617335,15393.099999999999,87.27403760953037,53.41559515605002,271.7000122,10.800012200000026,1,3.0,0.04139521732464556,319.55967676179233,391.4081525952518,479.4107425269028,719.2229707427095,4.139521732464556,60,50,0,0
803,24.8,57.7,50.27,1234822.0,784483.0,0.0,85126,1929,3.0,NonResidential,Small- and Mid-Sized Office,99.0,465.5,725.5999756,18610055.0,685132.0,0.0,85126,1929,3,NonResidential,Small- and Mid-Sized Office,1.0,440.7,1777.016129032258,667.8999756,1157.538952512998,17375233.0,1407.1042628006303,-99351.0,-12.664519180147945,-98.0,-98.98989898989899,Declining,0.42980935875216636,0.611508415023981,86,Large,1,976.263360271123,2455.2000000000003,14.505814909663323,9.215551065479406,465.5,440.7,1,1.0,17.77016129032258,57781884.69297027,134626862849665.81,3.136691074901497e+20,1.7027535449295755e+33,100.0,60,50,0,0
804,38.9,116.3,122.54,10952524.0,869771.0,0.0,303255,2000,5.0,NonResidential,Other,,36.5,111.3000031,10602152.0,474987.0,0.0,303255,2000,5,NonResidential,Other,,-2.3999999999999986,-6.169665809768634,-4.999996899999999,-4.29922347377472,-350372.0,-3.199006913840134,-394784.0,-45.38941859408971,,,Improving,0.3344797936371453,0.9264295976373453,15,Mega,0,189.33498918398945,0.0,36.11654877908031,2.868117590806417,36.5,-2.3999999999999986,0,2.0,-0.06169665809768634,28.29214772058148,20.57700829416976,14.965752141549647,7.916462877767505,0.0,60,50,1,1
805,33.8,73.3,391.82,7370004.0,6410237.0,0.0,411584,1986,1.0,NonResidential,"Distribution Center
",48.0,37.0,77.40000153,7501894.0,7589685.0,0.0,411584,1986,1,NonResidential,Distribution Center,43.0,3.200000000000003,9.467455621301784,4.10000153,5.593453656207367,131890.0,1.7895512675434095,1179448.0,18.399444513517988,-5.0,-10.416666666666668,Declining,0.46111869031377895,0.534824028113877,29,Mega,1,374.905354334749,1622.3999999999999,17.90643951174001,15.574553432592133,37.0,3.200000000000003,1,1.0,0.09467455621301785,53.1302450787556,83.51547166061046,131.27803186970715,324.3712056294451,9.467455621301784,60,50,1,1
806,18.2,42.1,26.41,626193.0,415138.0,0.0,73320,1902,4.0,NonResidential,Mixed Use Property,,20.0,45.90000153,681682.0,459508.0,0.0,73320,1902,4,NonResidential,Mixed Use Property,,1.8000000000000007,9.890109890109894,3.800001529999996,9.02613190023752,55489.0,8.861325501882007,44370.0,10.688012179082618,,,Declining,0.43230403800475053,0.6013390554972434,113,Large,0,1265.8940644995587,0.0,8.540548281505728,5.662002182214948,20.0,1.8000000000000007,1,1.0,0.09890109890109894,29.16516423538324,46.736637630597684,74.89459957725134,192.32537147970936,9.890109890109894,60,50,1,1
